n, m, tiempoTotal
946, 0, 235253394
947, 0, 235340652
948, 0, 235199287
949, 0, 238961170
950, 0, 275721229
951, 0, 234262215
952, 0, 237266846
953, 0, 242159740
954, 0, 235063185
955, 0, 238247020
956, 0, 239271653
957, 0, 239413967
958, 0, 237486055
959, 0, 239452419
960, 0, 238716703
961, 0, 286851577
962, 0, 239580572
963, 0, 239983523
964, 0, 240145869
965, 0, 242179909
966, 0, 242412117
967, 0, 244773748
968, 0, 251678100
969, 0, 247095527
970, 0, 245530175
971, 0, 247931590
972, 0, 251327761
973, 0, 249109469
974, 0, 258004680
975, 0, 265587316
976, 0, 255080798
977, 0, 254089275
978, 0, 261324707
979, 0, 257014479
980, 0, 257945522
981, 0, 250643377
982, 0, 252833986
983, 0, 249563658
984, 0, 252008961
985, 0, 256043954
986, 0, 258667881
987, 0, 249014546
988, 0, 251074977
989, 0, 261375755
990, 0, 256825425
991, 0, 269380158
992, 0, 259549677
993, 0, 256484542
994, 0, 257244673
995, 0, 259596978
996, 0, 256694420
997, 0, 260735253
998, 0, 262614355
999, 0, 261702090
1000, 0, 262045782
