n, m, fronteraExacto, fronteraHConstructiva, fronteraBLocal, fronteraGrasp, tiempoExacto, tiempoHConstructiva, tiempoBLocal, tiempoGrasp
25, 130, 42, 37, 42, 42, 2973146, 16668, 2926, 1193141
25, 131, 48, 46, 48, 48, 3262272, 16177, 2269, 1250177
25, 132, 44, 37, 42, 44, 3613269, 17747, 4236, 1240002
25, 133, 45, 33, 42, 45, 3308346, 16986, 3470, 1293815
25, 134, 45, 39, 43, 45, 5269462, 29247, 4817, 1881410
25, 135, 50, 43, 47, 50, 5556185, 33407, 4029, 1888918
25, 136, 46, 35, 42, 45, 6271923, 31030, 5894, 1922109
25, 137, 49, 37, 46, 49, 5929188, 34248, 7098, 1908532
25, 138, 51, 46, 50, 50, 6451880, 36693, 4777, 1990473
25, 139, 52, 45, 50, 52, 5576466, 29591, 5917, 1852328
25, 140, 47, 38, 44, 47, 4672134, 22288, 4156, 1311630
25, 141, 49, 40, 46, 49, 4016343, 24785, 4393, 1370477
25, 142, 50, 38, 40, 49, 4739401, 22754, 3890, 1384044
25, 143, 48, 44, 46, 48, 6307223, 29724, 4325, 1963240
25, 144, 52, 44, 49, 52, 6920843, 37481, 5389, 2073180
25, 145, 53, 41, 52, 52, 7406232, 35511, 6192, 2055528
25, 146, 57, 46, 55, 57, 5718038, 23628, 4052, 1428762
25, 147, 50, 45, 50, 50, 4862249, 24038, 4824, 1605034
25, 148, 58, 49, 57, 58, 6861984, 44809, 4735, 1931708
25, 149, 52, 41, 46, 52, 4800503, 24449, 7318, 1364213
25, 150, 53, 41, 48, 53, 4736018, 19777, 4427, 1399437
25, 151, 51, 40, 42, 51, 4997247, 19410, 3639, 1391510
25, 152, 56, 47, 52, 56, 5988180, 28719, 5239, 1746408
25, 153, 58, 47, 55, 58, 8534721, 39804, 7287, 2182393
25, 154, 58, 48, 58, 58, 7372312, 40106, 7265, 2111182
25, 155, 59, 52, 57, 59, 9012689, 33189, 6424, 2285397
25, 156, 58, 45, 53, 58, 7610443, 29907, 4988, 1702904
25, 157, 57, 46, 51, 57, 6521472, 18804, 3483, 1407271
25, 158, 58, 49, 53, 57, 6476020, 18772, 3706, 1437063
25, 159, 62, 55, 58, 62, 5568694, 22935, 3429, 1502248
25, 160, 57, 50, 55, 57, 6927428, 28314, 4177, 1635346
25, 161, 58, 51, 57, 58, 6193852, 28486, 4179, 1623436
25, 162, 59, 46, 53, 59, 7713932, 25669, 4169, 1638765
25, 163, 61, 43, 54, 60, 7740701, 27286, 6998, 1643752
25, 164, 62, 49, 55, 62, 7860264, 26753, 4034, 1551502
25, 165, 62, 46, 58, 62, 7871135, 26340, 5877, 1522988
25, 166, 62, 53, 60, 62, 7745655, 24296, 4281, 1494361
25, 167, 64, 53, 60, 64, 6436554, 19478, 4661, 1502975
25, 168, 65, 51, 60, 64, 8510845, 26304, 6859, 1725098
25, 169, 66, 51, 58, 66, 10225628, 27140, 6197, 1754257
25, 170, 65, 49, 59, 64, 9869181, 27323, 5082, 1798000
25, 171, 62, 49, 57, 62, 13093962, 35347, 6481, 2403065
25, 172, 66, 55, 64, 66, 13984502, 37684, 7632, 2442122
25, 173, 65, 51, 63, 65, 13690743, 36618, 8573, 2451271
25, 174, 68, 49, 65, 68, 14879315, 34427, 8111, 2329633
25, 175, 72, 55, 64, 72, 11398498, 28300, 5878, 1695664
25, 176, 68, 50, 62, 68, 9849215, 25347, 5036, 1716556
25, 177, 75, 57, 70, 75, 12387688, 22325, 6086, 1588106
25, 178, 67, 54, 64, 67, 9020538, 23137, 5426, 1747826
25, 179, 75, 55, 70, 74, 14919393, 33982, 7543, 2184846
25, 180, 73, 57, 68, 72, 12894114, 31376, 5990, 1855691
25, 181, 74, 64, 72, 73, 14098120, 27328, 5668, 1650023
25, 182, 73, 60, 68, 72, 11199181, 23285, 4370, 1687211
25, 183, 76, 58, 70, 75, 15631403, 26670, 5373, 1736551
25, 184, 77, 62, 75, 77, 15147665, 27469, 4695, 1669163
25, 185, 76, 59, 71, 76, 11801936, 25196, 6038, 1664512
25, 186, 73, 53, 68, 73, 13534107, 22429, 5908, 1649206
25, 187, 73, 51, 68, 73, 12623573, 27645, 6845, 1818448
25, 188, 73, 50, 65, 73, 15219952, 24641, 6406, 1712080
25, 189, 75, 53, 70, 74, 14438641, 25447, 7503, 1700517
25, 190, 79, 65, 74, 78, 16040614, 23609, 5328, 1689075
25, 191, 80, 68, 80, 80, 15359088, 22957, 5489, 1686411
