n, m, fronteraHConstructiva, fronteraBLocal, fronteraGrasp, tiempoHConstructiva, tiempoBLocal, tiempoGrasp
200, 4901, 201, 243, 294, 558884, 25971, 37842826
200, 4921, 206, 281, 301, 363844, 33667, 36711153
200, 4941, 210, 276, 322, 374106, 32423, 37119675
200, 4961, 173, 241, 299, 354370, 29363, 37563750
200, 4981, 192, 234, 308, 363719, 24090, 37427089
200, 5001, 188, 261, 308, 351160, 34001, 36883378
200, 5021, 182, 261, 316, 388108, 31795, 38145745
200, 5041, 210, 285, 317, 552452, 32828, 45787383
200, 5061, 197, 246, 311, 761065, 23271, 53464655
200, 5081, 179, 242, 307, 712626, 32498, 52808212
200, 5101, 186, 271, 311, 441868, 33203, 41363897
200, 5121, 201, 231, 316, 381486, 27101, 39207775
200, 5141, 189, 265, 332, 428565, 27995, 40055762
200, 5161, 191, 254, 309, 380013, 25967, 39016653
200, 5181, 178, 273, 335, 518927, 35017, 52770619
200, 5201, 213, 276, 332, 398212, 28442, 51397676
200, 5221, 206, 299, 332, 407518, 39149, 44709584
200, 5241, 239, 303, 340, 488392, 26431, 39835112
200, 5261, 213, 258, 341, 370011, 22664, 39299988
200, 5281, 188, 265, 299, 416028, 29158, 39050011
200, 5301, 186, 306, 341, 389010, 39624, 46777499
200, 5321, 202, 266, 342, 564479, 26005, 41411823
200, 5341, 188, 259, 327, 424645, 26621, 42146847
200, 5361, 200, 246, 345, 445770, 24606, 41564015
200, 5381, 215, 289, 343, 965234, 34682, 62352893
200, 5401, 210, 308, 337, 592224, 45558, 68045605
200, 5421, 194, 245, 338, 496578, 22382, 41529995
200, 5441, 225, 297, 345, 466275, 32419, 40208112
200, 5461, 198, 310, 361, 554917, 46418, 52698150
200, 5481, 205, 343, 361, 871288, 40555, 60235467
200, 5501, 215, 232, 356, 486484, 25697, 48025137
200, 5521, 194, 327, 389, 436846, 39984, 41659885
200, 5541, 202, 312, 347, 396143, 32121, 40666217
200, 5561, 219, 339, 357, 398906, 34084, 42005615
200, 5581, 224, 304, 371, 404019, 31926, 41008117
200, 5601, 229, 300, 332, 394187, 28707, 43841193
200, 5621, 196, 329, 362, 409004, 37137, 40979551
200, 5641, 228, 317, 373, 445764, 27992, 42729060
200, 5661, 210, 311, 367, 400251, 29709, 40995408
200, 5681, 251, 304, 375, 492792, 25903, 42294752
200, 5701, 196, 262, 367, 400994, 26369, 41828575
200, 5721, 213, 267, 363, 608037, 31716, 58102939
200, 5741, 222, 325, 389, 845118, 38481, 70487758
200, 5761, 242, 334, 382, 512681, 34233, 46881717
200, 5781, 221, 313, 380, 658735, 34304, 48844681
200, 5801, 210, 313, 367, 421549, 32416, 45597850
200, 5821, 236, 289, 363, 420976, 29278, 43778602
200, 5841, 213, 304, 372, 411221, 32926, 43625191
200, 5861, 246, 317, 388, 510809, 24884, 46303236
200, 5881, 249, 299, 373, 418640, 26357, 44023864
200, 5901, 250, 269, 382, 445072, 20859, 45429860
200, 5921, 216, 364, 408, 930051, 43674, 67831628
200, 5941, 239, 331, 351, 893026, 34605, 58234423
200, 5961, 245, 356, 419, 537797, 33218, 46224843
200, 5981, 237, 332, 385, 444090, 37273, 44639611
200, 6001, 223, 316, 399, 431599, 27736, 44113536
200, 6021, 233, 270, 387, 429718, 22470, 45574273
200, 6041, 228, 314, 380, 530315, 28247, 62722369
200, 6061, 252, 339, 397, 1267980, 42841, 65787672
200, 6081, 264, 336, 381, 561482, 32079, 46669411
200, 6101, 252, 345, 431, 429252, 30926, 44632194
200, 6121, 235, 322, 409, 434472, 27796, 46127026
200, 6141, 237, 366, 421, 460219, 33820, 44785595
200, 6161, 249, 347, 398, 509070, 28709, 45421191
200, 6181, 229, 361, 407, 618005, 32003, 63357065
200, 6201, 259, 302, 463, 900192, 35897, 72792369
200, 6221, 244, 303, 434, 549618, 30763, 70420347
200, 6241, 260, 300, 432, 845235, 32099, 70623493
200, 6261, 281, 358, 421, 647094, 23360, 70559406
200, 6281, 274, 382, 410, 586006, 30148, 56452054
200, 6301, 265, 382, 436, 450008, 51418, 48765896
200, 6321, 219, 314, 421, 450881, 34566, 48987759
200, 6341, 273, 356, 398, 723827, 33673, 71265184
200, 6361, 241, 360, 408, 770168, 33641, 52697472
200, 6381, 259, 341, 463, 482865, 37062, 55184194
200, 6401, 248, 310, 458, 467013, 24657, 50481918
200, 6421, 320, 396, 453, 452896, 30134, 49026778
200, 6441, 284, 401, 436, 446020, 38463, 48443684
200, 6461, 263, 374, 431, 459761, 35840, 48723405
200, 6481, 233, 358, 424, 470789, 34395, 47599679
200, 6501, 268, 363, 443, 464778, 34381, 48865185
200, 6521, 249, 369, 472, 458225, 34408, 48597163
200, 6541, 244, 404, 468, 454435, 35582, 48860433
200, 6561, 251, 396, 468, 459683, 33081, 48777815
200, 6581, 272, 344, 461, 473017, 27700, 49146522
200, 6601, 253, 338, 455, 485709, 31254, 47743630
200, 6621, 266, 344, 437, 479664, 32318, 50081233
200, 6641, 300, 447, 476, 473517, 29580, 48675221
200, 6661, 250, 346, 445, 616253, 29553, 48863536
200, 6681, 262, 409, 486, 466716, 28365, 48707417
200, 6701, 271, 389, 468, 469708, 29793, 49635343
200, 6721, 269, 366, 493, 478213, 33517, 49306429
200, 6741, 283, 388, 470, 464887, 29708, 50417703
200, 6761, 292, 442, 491, 474815, 32265, 50029090
200, 6781, 291, 395, 496, 480687, 37595, 50155515
200, 6801, 271, 398, 498, 485665, 30561, 50004481
200, 6821, 273, 372, 478, 477178, 33263, 50601708
200, 6841, 316, 432, 516, 481627, 30282, 49470990
200, 6861, 279, 403, 489, 489253, 36919, 52117202
200, 6881, 303, 450, 500, 489510, 36532, 49636563
200, 6901, 273, 438, 502, 479361, 41045, 51923149
200, 6921, 296, 375, 492, 485241, 30820, 52424843
200, 6941, 256, 367, 499, 492652, 28742, 53076265
